,autor,edicao,link,resumo,tipo_trabalho,titulo
203,"
								Fabrício Martins Mendonça
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/102,"
					Os dados do Sistema de Informação sobre Mortalidade (SIM) representam a principal fonte de informações sobre mortalidade no Brasil, embora apresentem com frequência alguma inconsistência. Uma dificuldade para a geração dos dados de mortalidade confiáveis é o correto preenchimento da Declaração de Óbito (DO), instrumento de alimentação de dados para o SIM. O artigo relata estudo exploratório sobre problemas de preenchimento da DO, utilizando abordagem semiqualitativa. A coleta dos dados foi realizada por meio de entrevistas semiestruturadas e questionários estruturados aplicados a médicos. Os resultados mostram que os principais problemas relacionados ao preenchimento da DO são o desconhecimento médico acerca da importância do correto preenchimento de todos os campos do formulário, a pouca utilização dos materiais de instrução fornecidos aos médicos pelos órgãos e instituições responsáveis, o desconhecimento sobre a importância do detalhamento e a adequação da cadeia de eventos patológicos no campo das possíveis causas de morte.
				","
									Artigos originais
						","
		Problemas no preenchimento da Declaração de Óbito: estudo exploratório
	"
204,"
								Eliane Drumond
							",,,,,
205,"
								Ana Maria Pereira Cardoso
							",,,,,
206,"
								Marília Miranda Forte Gomes
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/103,"
					Este trabalho tem como objetivo estimar as probabilidades de transição de um indivíduo entre os estados de atividade e invalidez permanente, segundo sexo e idade, para os segurados do Regime Geral de Previdência Social – RGPS no período 1999-2002. Os resultados mostram que o risco de se aposentar por invalidez, para os homens, é crescente até os 65 anos de idade e depois diminui. Para as mulheres, as probabilidades de entrada em aposentadoria por invalidez são crescentes até a última idade considerada. O padrão observado pode ser explicado, entre outros motivos, pela competitividade do risco de se aposentar por invalidez com os outros benefícios cobertos pelo sistema previdenciário, caso o segurado tenha adiado ou não tenha cumprido a carência mínima exigida para requerer a concessão de tais benefícios. Por ser uma tábua adequada para a massa de participantes de um regime previdenciário, este trabalho contribui para um maior conhecimento sobre a invalidez, principalmente nas áreas de seguro e previdência.
				","
									Artigos originais
						","
		Da atividade à invalidez permanente: um estudo utilizando dados do Regime Geral de Previdência Social (RGPS) do Brasil no período 1999-2002
	"
207,"
								Moema Gonçalves Bueno Fígoli
							",,,,,
208,"
								Aloísio Joaquim Freitas Ribeiro
							",,,,,
209,"
								Aloísio Joaquim Freitas Ribeiro
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/104,"
					Este trabalho teve como objetivo a construção de tábuas de mortalidade de inválidos dos segurados de clientela urbana do Regime Geral da Previdência Social. Assumindo que o número de mortes em cada idade segue uma distribuição de Poisson, as taxas de mortalidade por idade simples foram graduadas por meio de métodos estatísticos bayesianos, pelo modelo paramétrico de Gompertz- Makehan, utilizando inferência estatística bayesiana. Foram construídas tábuas de mortalidade para homens e mulheres e intervalos de credibilidade para os parâmetros e componentes do modelo, bem como para as taxas de mortalidade e funções da tábua. Uma aplicação foi feita calculando-se uma anuidade e o passivo atuarial.
				","
									Artigos originais
						","
		Construção de tábuas de mortalidade de inválidos por meio de modelos estatísticos bayesianos
	"
210,"
								Edna Afonso Reis
							",,,,,
211,"
								Joana Barbabela Barbosa
							",,,,,
212,"
								Juliana Mara Winther
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/105,"
					Há algumas décadas tem se destacado a importância dos investimentos em educação para o desenvolvimento individual e regional. Um fator relevante para que haja incremento do capital humano em uma região é a inclusão da maior proporção possível da população local na escola, em todos os níveis de escolaridade. Entre as políticas que promovem essa inserção, destacam-se as ações afirmativas no âmbito da educação. Essas políticas, que incluem o bônus adicional abordado neste artigo, pretendem reduzir as desigualdades dos diferentes grupos sociais, em particular no que se refere ao atendimento escolar, combatendo sistematicamente a discriminação racial. Neste trabalho, discute-se a adoção do bônus adicional no vestibular da UFMG, comparandose, descritivamente no universo da população da RMBH, os indivíduos aptos e os não-aptos a ingressarem no ensino superior, bem como confrontando esses primeiros com os que efetivamente estudam nesse nível de ensino. Verificaram-se, por meio de simulações com os dados do Enem, os impactos que diferentes políticas de bônus adicional teriam do ponto de vista da inserção dos diferentes grupos de cor e de rendimento familiar. Constatou-se que, em alguns aspectos, essa política não incrementaria o corpo discente da UFMG de indivíduos com menor potencial de aprendizado, embora certas políticas complementares devam ser tomadas com relação a outros fatores.
				","
									Artigos originais
						","
		Uma investigação sobre a aplicação de bônus adicional como política de ação afirmativa na Universidade Federal de Minas Gerais (UFMG)
	"
213,"
								André Braz Golgher
							",,,,,
214,"
								Marina Braga Carneiro
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/106,"
					A historiografia tem indicado a ausência de informações, nos registros paroquiais arrolados na América portuguesa, a respeito da idade em que as crianças eram batizadas. Trata-se de evidência documental característica até, pelo menos, as primeiras décadas dos oitocentos, o que tem compelido os especialistas brasileiros em Demografia Histórica a considerarem a data do batismo como equivalente à do nascimento. Alguns vigários que exerceram seu ministério na Paróquia de Nossa Senhora da Luz dos Pinhais de Curitiba, inusitadamente, anotaram esses dados nas atas concernentes aos anos de 1729 a 1763, calando-se novamente até 1836. Acompanhando uma tendência que parece ter se generalizado nas paróquias brasileiras no século XIX, a partir do ano seguinte (1837) a informação tornou-se corriqueira nas atas de catolicidade. Isso permitiu construir uma base de dados comparativa e realizar análises críticas a respeito do intervalo entre o nascimento e a data do batismo, tendo como fundo as disposições da Igreja (Constituições do Arcebispado da Bahia, 1707). Da mesma forma, é possível realizar algumas inferências relacionadas à importância assumida pelo Sacramento no imaginário da sociedade colonial.
				","
									Artigos originais
						","
		Nascer e garantir-se no Reino de Deus; Curitiba, séculos XVIII e XIX
	"
215,"
								Paula Roberta Chagas
							",,,,,
216,"
								Sergio Odilon Nadalin
							",,,,,
217,"
								Ana Maria Goldani
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/107,"
					O principal objetivo deste artigo é chamar atenção para o ageismo e a idade como parte do sistema de preconceito e discriminação no Brasil. Embora o ageismo e a discriminação por idade sejam termos frequentemente usados como sinônimos, o ageismo refere-se essencialmente às atitudes que os indivíduos e a sociedade têm frequentemente com os demais em função da idade, enquanto a discriminação por idade descreve a situação em que a idade é o fator decisivo. Um exemplo de discriminação por idade é o empregador que decide contratar, promover, retreinar ou aposentar/dispensar um funcionário com base somente na idade. Ainda que reparar na idade de um indivíduo não seja inerentemente ofensivo, agir por estereótipos baseados em idade é claramente um preconceito contra o indivíduo, que frequentemente não é contestado pela sociedade. O presente artigo se baseia em achados empíricos e no conhecimento acumulado sobre a discriminação do idoso, e discute as posições teóricas que ligam a discriminação etária ao ageismo. Defendemos que o ageismo e a prática de discriminação por idade no Brasil devem ser vistos como parte das múltiplas formas de discriminação sofridas pelos indivíduos. A premissa central que orienta este trabalho é de que a forma como enquadramos o ageismo e as relações intergeracionais tem um efeito significativo tanto na discriminação baseada na percepção da idade quanto no apoio a programas sociais específicos por idade. Ilustraremos descrevendo o caso do Brasil.
				","
									Artigos originais
						","
		“Ageismo” no Brasil: O que significa ? Quem pratica? O que fazer com isto?
	"
