,autor,edicao,link,paginas,tipo_trabalho,titulo
715,"
			Simone Wajnman
		","
									v. 34 n. 1 (2017)
							",https://rebep.org.br/revista/issue/view/65,"
				3-4
			","
					Editorial
				","
			Nota da Editora
					"
716,"
			Gisela P. Zapata, Gilvan Guedes
		",,,"
				5-13
			",,"
			Nota Editorial Temática
					"
717,"
			João Carlos Jarochinski Silva, Lucia Maria Machado Bógus, Stéfanie Angélica Gimenez Jarochinski Silva
		","
									v. 34 n. 1 (2017)
							",https://rebep.org.br/revista/issue/view/65,"
				15-30
			","
					Artigos originais
				","
			Os fluxos migratórios mistos e os entraves à proteção aos refugiados
					"
718,"
			Laís Gonzales de Oliveira
		",,,"
				31-54
			",,"
			Barreiras fronteiriças contra o princípio de non-refoulement: a inacessibilidade do território e da determinação do status de refugiado
					"
719,"
			Cedric Audebert
		",,,"
				55-71
			",,"
			A geodinâmica recente da migração haitiana nas Américas: refugiados ou migrantes econômicos?
					"
720,"
			Catarina Reis Oliveira, João Peixoto, Pedro Góis
		",,,"
				73-98
			",,"
			A nova crise dos refugiados na Europa: o modelo de repulsão-atração revisitado e os desafios para as políticas migratórias
					"
721,"
			Sidney Antonio da Silva
		",,,"
				99-117
			",,"
			Imigração e redes de acolhimento: o caso dos haitianos no Brasil
					"
722,"
			Rosana Baeninger, Roberta Peres
		",,,"
				119-143
			",,"
			Migração de Crise: a migração haitiana para o Brasil
					"
723,"
			Duval Fernandes, Andressa Virgínia de Faria
		",,,"
				145-161
			",,"
			O visto humanitário como resposta ao pedido de refúgio dos haitianos
					"
724,"
			Rosana Baeninger
		","
									v. 34 n. 1 (2017)
							",https://rebep.org.br/revista/issue/view/65,"
				181-184
			","
					Resenha
				","
			Desafios teórico-metodológicos para a interpretação da migração internacional na sociedade contemporânea
					"
725,"
			Maria Silvia Casagrande Beozzo Bassanezi
		",,,"
				185-191
			",,"
			Identidades em construção
					"
726,"
			Daniela Florêncio Silva
		","
									v. 34 n. 1 (2017)
							",https://rebep.org.br/revista/issue/view/65,"
				163-170
			","
					Ponto de Vista
				","
			O fenômeno dos refugiados no mundo e o atual cenário complexo das migrações forçadas
					"
727,"
			Antonio Tadeu Ribeiro de Oliveira
		",,,"
				171-179
			",,"
			Nova lei brasileira de migração: avanços, desafios e ameaças
					"
728,"
			Massimo Livi Bacci
		","
									v. 34 n. 2 (2017)
							",https://rebep.org.br/revista/issue/view/67,"
				199-221
			","
					Artigos originais
				","
			O melting pot venezuelano: 1500-1800
					"
729,"
			Maísa Faleiros Cunha
		",,,"
				223-242
			",,"
			Casamentos mistos: entre a escravidão e a liberdade Franca-São Paulo/Brasil, século XIX
					"
730,"
			Álvaro de Oliveira D'Antona
		",,,"
				243-270
			",,"
			Do mito malthusiano ao das relações recíprocas – a constituição interdisciplinar do campo de População e Ambiente
					"
731,"
			Gilvan Ramalho Guedes, Alisson Barbieri, Reinaldo Santos, Vanessa Ferreira
		",,,"
				271-299
			",,"
			Composição demográfica domiciliar e dinâmica do uso do solo em Machadinho d’Oeste, Rondônia: evidências baseadas nos estágios iniciais da fronteira
					"
732,"
			Roberta Guerra Rosemback, José Irineu Rangel Rigotti, Flávia da Fonseca Feitosa, Antônio Miguel Vieira Monteiro
		",,,"
				301-320
			",,"
			Demografia, planejamento territorial e a questão habitacional: prognóstico da situação habitacional do Litoral Norte Paulista
					"
733,"
			Carlos Lobo, Leandro Cardoso, Ivânia Linhares de Almeida, Ricardo Alexandrino Garcia
		",,,"
				321-339
			",,"
			Mobilidade pendular e a integração metropolitana: uma proposta metodológica para os municípios da Região Metropolitana de Belo Horizonte/MG – 2010
					"
734,"
			Luiz Carlos Day Gama, Ana Maria Hermeto
		",,,"
				341-366
			",,"
			Diferencial de ganhos entre migrantes e não migrantes em Minas Gerais
					"
735,"
			Jorge Mora-Rivera, Marlen Martínez Domínguez, José Luis Jaramillo Villanueva, María de los Ángeles Chávez Alvarado
		",,,"
				367-389
			",,"
			Participação no setor não agrícola no México rural: uma perspectiva de gênero
					"
736,"
			Lara de Melo Barbosa, Kenya Noronha, Maria Helena Constantino Spyrides, Cristiane Alessandra Domingos de Araújo
		",,,"
				391-414
			",,"
			Qualidade de vida relacionada à saúde dos cuidadores formais de idosos institucionalizados em Natal, Rio Grande do Norte
					"
737,"
			Lúcia Helena Pereira da Silva
		","
									v. 34 n. 2 (2017)
							",https://rebep.org.br/revista/issue/view/67,"
				415-425
			","
					Notas de pesquisa
				","
			Baixada Fluminense como vazio demográfico? População e território no antigo município de Iguaçu (1890/1910)
					"
738,"
			Simone Wajnman
		","
									v. 34 n. 3 (2017)
							",https://rebep.org.br/revista/issue/view/68,"
				431-432
			","
					Editorial
				","
			Nota da Editora
					"
739,"
			Ana Silvia Volpi Scott, Paulo Teodoro de Matos
		",,,"
				433-438
			",,"
			Nota Editorial Temática
					"
740,"
			André Augusto da Fonseca
		","
									v. 34 n. 3 (2017)
							",https://rebep.org.br/revista/issue/view/68,"
				439-464
			","
					Artigos originais
				","
			Os mapas da população no Estado do Grão Pará: consolidação de uma população colonial na segunda metade do século XVIII
					"
741,"
			Antonia da Silva Mota, Maísa Faleiros da Cunha
		",,,"
				465-484
			",,"
			No âmago da africanização: pessoas negras e de cor nos mapas populacionais do Maranhão colonial (1798-1821)
					"
742,"
			Dayane Julia Carvalho Dias, Carmen Margarida Oliveira Alveal
		",,,"
				485-507
			",,"
			Um estudo preliminar da demografia do Rio Grande do Norte colonial: fontes, métodos e resultados
					"
743,"
			Luciana Conceição de Lima, Dayane Julia Carvalho Dias, Luana Junqueira Dias Myrrha
		",,,"
				509-527
			",,"
			Estimativas de mortalidade para o Rio Grande do Norte em um contexto de pré-transição demográfica
					"
744,"
			Roberta Giannubilo Stumpf
		",,,"
				529-548
			",,"
			Minas contada em números – A capitania de Minas Gerais e as fontes demográficas (1776-1821)
					"
745,"
			Carlos de Almeida Prado Bacellar
		",,,"
				549-565
			",,"
			As famílias de povoadores em áreas de fronteira da Capitania de São Paulo na segunda metade do século XVIII
					"
746,"
			Paulo Eduardo Teixeira
		",,,"
				567-591
			",,"
			Campinas, uma vila colonial (1774-1822)
					"
747,"
			Luciano Costa Gomes
		",,,"
				593-615
			",,"
			Livres, libertos e escravos na história da população de Santa Catarina, 1787-1836
					"
748,"
			Dario Scott
		",,,"
				617-633
			",,"
			A população do Rio Grande de São Pedro pelos mapas populacionais de 1780 a 1810
					"
749,"
			Paulo Teodoro Matos
		","
									v. 34 n. 3 (2017)
							",https://rebep.org.br/revista/issue/view/68,"
				635-648
			","
					Notas de pesquisa
				","
			Imaginar, contar e descrever as populações coloniais portuguesas, 1776-1875: notas de uma pesquisa em curso
					"
750,"
			Sérgio Odilon Nadalin, Dario Scott
		",,,"
				649-657
			",,"
			Além do Centro-Sul: por uma história da população colonial nos extremos dos domínios portugueses na América (projeto integrado)
					"
751,"
			Ana Silvia Volpi Scott
		","
									v. 34 n. 3 (2017)
							",https://rebep.org.br/revista/issue/view/68,"
				659-664
			","
					Resenha
				","
			Pelos caminhos passados e futuros da Demografia Histórica
					"
752,"
			Simone Wajnman
		","
									v. 35 n. 1 (2018)
							",https://rebep.org.br/revista/issue/view/69,"
				1-6
			","
					Editorial
				","
			Nota da Editora
					"
753,"
			Nicolás Sacco, Gabriel Borges
		","
									v. 35 n. 1 (2018)
							",https://rebep.org.br/revista/issue/view/69,"
				1-29
			","
					Artigos originais
				","
			Há convergência da fecundidade no Brasil e na Argentina? Um enfoque em desigualdades
					"
754,"
			Raquel Zanatta Coutinho, Andre Braz Golgher
		",,,"
				1-28
			",,"
			Modelando os determinantes próximos da fecundidade para o Brasil: o advento das preferências competitivas
					"
755,"
			Angelita Alves de Carvalho, Laura Rodriguez Wong, Paula Miranda-Ribeiro
		",,,"
				1-20
			",,"
			Alice no País das Maravilhas: fecundidade não realizada e satisfação com o número de filhos tidos de acordo com o ponto de vista dos casais em uma cidade do Brasil
					"
756,"
			José Alberto Magno de Carvalho, Guilherme Quaresma Gonçalves, Luciano Gonçalves de Castro e Silva
		",,,"
				1-26
			",,"
			Aplicação da técnica P/F de Brass em um contexto de rápida queda da fecundidade adolescente
					"
757,"
			Felipe dos Santos Martins, Danielle Carusi Machado
		",,,"
				1-24
			",,"
			Uma análise da escolha do curso superior no Brasil
					"
758,"
			Julia Sbroglio Rizzotto, Marco Tulio Aniceto França, Gustavo Saraiva Frio
		",,,"
				1-27
			",,"
			Os arranjos familiares importam no momento de decidir em qual rede de ensino matricular os filhos?
					"
759,"
			Ana Luiza Neves de Holanda Barbosa
		",,,"
				1-28
			",,"
			Tendências na alocação do tempo no Brasil: trabalho e lazer
					"
760,"
			Sarah Anne Reynolds
		",,,"
				1-29
			",,"
			Sexo da criança e estrutura domiciliar no Brasil: viés dos pais e dos avós?
					"
761,"
			Paulo de Martino Jannuzzi
		","
									v. 35 n. 1 (2018)
							",https://rebep.org.br/revista/issue/view/69,"
				1-10
			","
					Ponto de Vista
				","
			A importância da informação estatística para as políticas sociais no Brasil: breve reflexão sobre a experiência do passado para considerar no presente
					"
762,"
			Reinaldo Onofre Santos, Guilherme Quaresma Gonçalves
		","
									v. 35 n. 1 (2018)
							",https://rebep.org.br/revista/issue/view/69,"
				1-13
			","
					Notas de pesquisa
				","
			Métodos para estimação da subenumeração do grupo etário de 0 a 4 anos no Censo Demográfico brasileiro de 2000
					"
763,"
			Simone Wajnman
		","
									v. 35 n. 2 (2018)
							",https://rebep.org.br/revista/issue/view/70,"
				1-4
			","
					Editorial
				","
			Nota da Editora
					"
764,"
			Luiz Antonio de Castro Santos, Lina Faria, Rafael Andrés Patiño
		","
									v. 35 n. 2 (2018)
							",https://rebep.org.br/revista/issue/view/70,"
				1-15
			","
					Artigos originais
				","
			O envelhecer e a morte: leituras contemporâneas de psicologia social
					"
765,"
			Emerson Augusto Baptista, Bernardo Lanza Queiroz, José Irineu Rangel Rigotti
		",,,"
				1-20
			",,"
			Decomposição das taxas de mortalidade por doenças cardiovasculares na população adulta: um estudo para as microrregiões brasileiras entre 1996 e 2015
					"
766,"
			Lucas Campos Amaro, Luís Eduardo Afonso
		",,,"
				1-29
			",,"
			Quais são os efeitos do envelhecimento populacional nos sistemas previdenciários de Brasil, Espanha e França?
					"
767,"
			Carola Leticia Bertone, Víctor Eduardo Torres, Marcos Javier Andrada
		",,,"
				1-18
			",,"
			Mortalidade relacionada ao consumo de álcool e seu impacto na expectativa de vida da população do noroeste argentino, 2011
					"
768,"
			Luiza Veloso Dutra, Dayane de Castro Morais, Ricardo Henrique Silva Santos, Sylvia do Carmo Castro Franceschini, Silvia Eloiza Priore
		",,,"
				1-17
			",,"
			Comparação dos diferentes métodos de avaliação da segurança alimentar e nutricional domiciliar na zona rural de uma cidade brasileira
					"
769,"
			Samara Lauar Santos, Cássio Turra, Kenya Noronha
		",,,"
				1-30
			",,"
			Envelhecimento populacional e gastos com saúde: uma análise das transferências intergeracionais e intrageracionais na saúde suplementar brasileira
					"
770,"
			Matheus Alves Albino, Renato Leite Marcondes
		",,,"
				1-20
			",,"
			Diferenciais de mortalidade em um hospital filantrópico: a Santa Casa de Misericórdia de Campinas (1876-1885)
					"
771,"
			Bernardo Lanza Queiroz, Nicolas Sacco
		","
									v. 35 n. 2 (2018)
							",https://rebep.org.br/revista/issue/view/70,"
				1-8
			","
					Ponto de Vista
				","
			¿Es relevante incorporar la medición de la mortalidad en los censos de América Latina y el Caribe?
					"
772,"
			Bráulio Figueiredo Alves Silva, Bernardo Lanza Queiroz, Frederico Couto Marinho, Fabiano Neves Alves Pereira, Pedro Cisalpino
		","
									v. 35 n. 2 (2018)
							",https://rebep.org.br/revista/issue/view/70,"
				1-9
			","
					Notas de pesquisa
				","
			Violência urbana e política pública de prevenção: avaliação do Programa Fica Vivo! no estado de Minas Gerais, Brasil
					"
773,"
			Gilvan Guedes
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-5
			","
					Editorial
				","
			Nota Editorial
					"
774,"
			Svetlana Ruseishvili
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-20
			","
					Artigos originais
				","
			Perfil sociodemográfico e distribuição territorial dos russos em São Paulo: deslocados de guerra da Europa e refugiados da China após a Segunda Guerra Mundial
					"
775,"
			Vanessa Gapriotti Nadalin, Bernardo Alves Furtado, Matheus Rabetti
		",,,"
				1-24
			",,"
			Concentração intraurbana de população e empregos: os centros antigos das cidades brasileiras perderam primazia?
					"
776,"
			Rafael Mesquita Pereira, Maria Cristina Galvão, Henrique dos Santos Maxir
		",,,"
				1-23
			",,"
			Determinantes do emprego secundário e informalidade: evidências adicionais para o mercado de trabalho brasileiro
					"
777,"
			Jeronimo Oliveira Muniz
		",,,"
				1-36
			",,"
			Análise e previsão demográfica utilizando-se matrizes de crescimento e distribuição populacional intermunicipal
					"
778,"
			Daniela Mía Campos Ugaz
		",,,"
				1-24
			",,"
			Capital social e assimilação ocupacional de migrantes internos no Peru
					"
779,"
			José Alberto Magno de Carvalho, Járvis Campos, José Irineu Rangel Rigotti, Breno Aloísio Torres Duarte de Pinho
		",,,"
				1-26
			",,"
			Migrações internacionais no Brasil no período 2005-2010, com ênfase nos efeitos diretos e indiretos da imigração de retorno dos brasileiros
					"
780,"
			Renata Maciel Ribeiro, Silvana Amaral, Antônio Miguel Vieira Monteiro, Ana Paula Dal'Asta
		",,,"
				1-30
			",,"
			Os processos de urbanização e conversão florestal na Amazônia paraense – um estudo multiescalar
					"
781,"
			Maria Izilda Santos Matos, Oswaldo Truzzi, Carla Fernandes Conceição
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-25
			","
					Artigos de revisão
				","
			Mulheres imigrantes: presença e ocultamento (interiores de São Paulo, 1880-1930)
					"
782,"
			Claudio Santiago Dias Jr, Ana Paula Verona
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-9
			","
					Nota técnica
				","
			Os indígenas nos censos demográficos brasileiros pré-1991
					"
783,"
			Marden Campos
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-12
			","
					Ponto de Vista
				","
			Vale a pena manter as perguntas sobre ex-moradores residindo no exterior nos censos demográficos?
					"
784,"
			Marco Aurélio Machado de Oliveira
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-5
			","
					Resenha
				","
			Novos elementos teórico-metodológicos para os estudos migratórios em fronteira
					"
785,"
			Sérgio Odilon Nadalin
		","
									v. 35 n. 3 (2018): Revista
							",https://rebep.org.br/revista/issue/view/71,"
				1-14
			","
					Notas de pesquisa
				","
			Rumo à América: passageiros da rota Hamburgo–São Francisco do Sul na segunda metade dos Oitocentos
					"
786,"
			Paula Miranda-Ribeiro
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-7
			","
					Editorial
				","
			Nota da Editora
					"
787,"
			Gilvan Teles Barroso Junior, Ana Carolina Soares Bertho, Alinne de Carvalho Veiga
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-22
			","
					Artigos originais
				","
			A letalidade dos acidentes de trânsito nas rodovias federais brasileiras
					"
788,"
			George Martine, Jose Eustaquio Alves
		",,,"
				1-30
			",,"
			Desordem na governança global e o caos nas mudanças climáticas
					"
789,"
			Helena Nobre de Oliveira, César Augusto Marques da Silva, Antonio Tadeu Ribeiro de Oliveira
		",,,"
				1-31
			",,"
			Imigração internacional: uma alternativa para os impactos das mudanças demográficas no Brasil?
					"
790,"
			Camila Fernanda Bassetto
		",,,"
				1-18
			",,"
			Background familiar e desempenho escolar: uma abordagem com variáveis binárias a partir dos resultados do Saresp
					"
791,"
			Cristina Donza Cancela
		",,,"
				1-22
			",,"
			O fluxo imigratório do distrito do Porto para o estado do Pará: borracha, conflitos, epidemias e gênero (1834-1930)
					"
792,"
			Adriana Miranda-Ribeiro, Ricardo Alexandrino Garcia, Tereza Cristina de Azevedo Bernardes Faria
		",,,"
				1-18
			",,"
			Baixa fecundidade e adiamento do primeiro filho no Brasil
					"
793,"
			Leonardo Souza Silveira, Maria Carolina Tomas
		",,,"
				1-22
			",,"
			Fluidez racial na Região Metropolitana de Belo Horizonte: características individuais e contexto local na construção da raça
					"
794,"
			Graciele Pereira Guedes, Elisa Monçores
		",,,"
				1-24
			",,"
			Empregadas domésticas e cuidadoras profissionais: compartilhando as fronteiras da precariedade
					"
795,"
			Caroline Carvalho, Guilherme Irffi
		",,,"
				1-23
			",,"
			Análise da secularização no Brasil
					"
796,"
			Janaína Guiginski, Simone Wajnman
		",,,"
				1-26
			",,"
			A penalidade pela maternidade: participação e qualidade da inserção no mercado de trabalho das mulheres com filhos
					"
797,"
			Oswaldo Truzzi
		",,,"
				1-27
			",,"
			Sírios e libaneses no oeste paulista – décadas de 1880 a 1950
					"
798,"
			Claudia Ayer Noronha, Elaine Vilela, Marden Campos
		",,,"
				1-25
			",,"
			“Quem leva a pior?” Nordestinos e bolivianos no mercado de trabalho paulista
					"
799,"
			Rodrigo Coelho de Carvalho, Elin Charles-Edwards
		",,,"
				1-19
			",,"
			Os fluxos migratórios entre os níveis da hierarquia urbana brasileira no período 1980-2010
					"
800,"
			Maria Silvia Beozzo Bassanezi, Maisa Faleiros Cunha
		",,,"
				1-29
			",,"
			Um espaço, dois momentos epidêmicos: surtos de febre amarela (1896-1897) e de gripe (1918-1919) em Campinas, estado de São Paulo
					"
801,"
			Ernesto Friedrich de Lima Amaral, Camilo Vladimir de Lima Amaral
		",,,"
				1-31
			",,"
			Estruturas invisíveis de segregação na Região Metropolitana de Goiânia
					"
802,"
			Larissa Giardini Simões, Ana Maria Hermeto
		",,,"
				1-25
			",,"
			Padrões recentes de inserção e mobilidade no trabalho doméstico no Brasil metropolitano: descontinuidades e persistências
							"
803,"
			Pamila Cristina Lima Siviero, Larissa  Gonçalves de Souza, Carla  Jorge Machado
		",,,"
				1-23
			",,"
					"
804,"
			Ricardo Neupert, Rogelio Eduardo Fernandez Menjivar, Rogelio Eduardo Fernandez Castilla
		",,,"
				1-37
			",,"
			Diferenciais de mortalidade por sexo no município de São Paulo em 2005 e 2016: contribuição dos grupos etários e das principais causas de óbito
					"
805,"
			Reinaldo Onofre Santos, Alisson Flávio Barbieri
		",,,"
				1-25
			",,"
			Estimação indireta da mortalidade infantil em pequenas áreas
					"
806,"
			Andrea Fernand Jubithana, Bernardo Lanza Queiroz
		",,,"
				1-20
			",,"
			Funções modelo de migração: limites e aplicações
					"
807,"
			Suzana Cavenaghi, José Eustáquio Diniz Alves
		",,,"
				1-29
			",,"
			Qualidade dos registros de óbitos e estimativas de mortalidade adulta no Suriname e regiões
					"
808,"
			Monica Viegas Andrade, Kenya Noronha, Cláudia  Di Lorenzo Oliveira, Clareci Silva Cardoso, Júlia Almeida Calazans, Nayara Abreu Julião, Aline de Souza, Patrícia  Aguiar Tavares
		",,,"
				1-21
			",,"
			O mix contraceptivo eternamente obsoleto no Brasil e seu legado.
					"
809,"
			Guilherme Quaresma Gonçalves, José Alberto Magno de Carvalho, Laura Lídia  Rodríguez Wong, Cássio Maldonado Turra
		",,,"
				1-34
			",,"
			Análise da linha de cuidado para pacientes com diabetes mellitus e hipertensão arterial: a experiência de um município de pequeno porte no Brasil
					"
810,"
			Clauber Scherer, Pedro Vasconcelos Maia do Amaral, David Folch
		",,,"
				1-19
			",,"
			A transição da fecundidade no Brasil ao longo do século XX – uma perspectiva regional
					"
811,,,,,,"
			Estudo comparativo das estruturas ocupacionais urbanas: Brasil e Estados Unidos
					"
812,"
			Flavia Maria Galizoni, Eduardo Magalhães Ribeiro
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-11
			","
					Artigos de revisão
				","
			Ouvindo silêncios: Daniel Hogan, o mundo rural e a natureza
					"
813,"
			José Eustáquio Diniz Alves
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-13
			","
					Nota técnica
				","
			Os 25 anos da CIPD: Terra inabitável e o grito da juventude
					"
814,"
			Andrea Branco Simão
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-7
			","
					Resenha
				","
			Entre o ideal e o real: percepções e práticas acerca da divisão de atividades domésticas e de cuidados no Brasil
					"
815,"
			Pamila Cristina Lima Siviero
		",,,"
				1-4
			",,"
			Desafios enfrentados pelos regimes de previdência no Brasil: o papel das premissas atuariais nos RPPS municipais
					"
816,"
			Flávia  Rodrigues de Castro, Carolina Moulin
		",,,"
				1-8
			",,"
			Vidas em movimento: da consideração à ética da diferença
					"
817,"
			Donald Sawyer
		","
									v. 36 (2019): Revista
							",https://rebep.org.br/revista/issue/view/72,"
				1-8
			","
					Ponto de Vista
				","
			Palco e bastidores da Conferência Internacional sobre População e Desenvolvimento
					"
818,"
			George Martine
		",,,"
				1-7
			",,"
			O Cairo pela metade
					"
819,"
			Richarlls Martins
		",,,"
				1-9
			",,"
			Do Cairo à Nairóbi: 25 anos da agenda de população e desenvolvimento no Brasil
					"
